,orig.ident
LT.HSC_070,LT.HSC
LT.HSC_073,LT.HSC
LT.HSC_074,LT.HSC
LT.HSC_075,LT.HSC
LT.HSC_076,LT.HSC
LT.HSC_077,LT.HSC
LT.HSC_078,LT.HSC
LT.HSC_079,LT.HSC
LT.HSC_080,LT.HSC
LT.HSC_083,LT.HSC
LT.HSC_084,LT.HSC
LT.HSC_087,LT.HSC
LT.HSC_093,LT.HSC
LT.HSC_097,LT.HSC
LT.HSC_099,LT.HSC
LT.HSC_101,LT.HSC
LT.HSC_104,LT.HSC
LT.HSC_105,LT.HSC
LT.HSC_106,LT.HSC
LT.HSC_107,LT.HSC
LT.HSC_108,LT.HSC
LT.HSC_109,LT.HSC
LT.HSC_110,LT.HSC
LT.HSC_111,LT.HSC
LT.HSC_112,LT.HSC
LT.HSC_114,LT.HSC
LT.HSC_116,LT.HSC
LT.HSC_117,LT.HSC
LT.HSC_118,LT.HSC
LT.HSC_120,LT.HSC
LT.HSC_121,LT.HSC
LT.HSC_122,LT.HSC
LT.HSC_123,LT.HSC
LT.HSC_124,LT.HSC
LT.HSC_125,LT.HSC
LT.HSC_126,LT.HSC
LT.HSC_127,LT.HSC
LT.HSC_128,LT.HSC
LT.HSC_129,LT.HSC
LT.HSC_131,LT.HSC
LT.HSC_132,LT.HSC
LT.HSC_133,LT.HSC
LT.HSC_134,LT.HSC
LT.HSC_135,LT.HSC
LT.HSC_136,LT.HSC
LT.HSC_137,LT.HSC
LT.HSC_138,LT.HSC
LT.HSC_140,LT.HSC
LT.HSC_141,LT.HSC
LT.HSC_144,LT.HSC
LT.HSC_145,LT.HSC
LT.HSC_146,LT.HSC
LT.HSC_147,LT.HSC
LT.HSC_148,LT.HSC
LT.HSC_149,LT.HSC
LT.HSC_150,LT.HSC
LT.HSC_152,LT.HSC
LT.HSC_153,LT.HSC
LT.HSC_154,LT.HSC
LT.HSC_155,LT.HSC
LT.HSC_157,LT.HSC
LT.HSC_158,LT.HSC
LT.HSC_159,LT.HSC
LT.HSC_160,LT.HSC
LT.HSC_161,LT.HSC
LT.HSC_162,LT.HSC
LT.HSC_163,LT.HSC
LT.HSC_164,LT.HSC
LT.HSC_165,LT.HSC
LT.HSC_166,LT.HSC
LT.HSC_167,LT.HSC
LT.HSC_169,LT.HSC
LT.HSC_170,LT.HSC
LT.HSC_171,LT.HSC
LT.HSC_172,LT.HSC
LT.HSC_173,LT.HSC
LT.HSC_174,LT.HSC
LT.HSC_176,LT.HSC
LT.HSC_177,LT.HSC
LT.HSC_178,LT.HSC
LT.HSC_179,LT.HSC
LT.HSC_180,LT.HSC
LT.HSC_181,LT.HSC
LT.HSC_183,LT.HSC
LT.HSC_184,LT.HSC
LT.HSC_185,LT.HSC
LT.HSC_187,LT.HSC
LT.HSC_188,LT.HSC
LT.HSC_189,LT.HSC
LT.HSC_190,LT.HSC
LT.HSC_191,LT.HSC
LT.HSC_193,LT.HSC
LT.HSC_194,LT.HSC
LT.HSC_195,LT.HSC
LT.HSC_196,LT.HSC
LT.HSC_197,LT.HSC
LT.HSC_198,LT.HSC
LT.HSC_199,LT.HSC
LT.HSC_200,LT.HSC
LT.HSC_201,LT.HSC
